"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Jul 29 11:56:17 UTC 2024","Mon Jul 29 11:56:17 UTC 2024","117","","Footer Sector","","","","Verfiy Redirection of Terms & Privacy Section ",""
"broken","Mon Jul 29 11:56:08 UTC 2024","Mon Jul 29 11:56:16 UTC 2024","8493","","Footer Sector","","","","Verfiy Redirection of About Us Section ",""
"passed","Tue Aug 13 07:45:29 UTC 2024","Tue Aug 13 07:45:36 UTC 2024","7676","","FloorPlan Test Cases: Smoke Tests Only","","","","Verify Floor Plan Cards: Dubai",""
"broken","Mon Jul 29 11:56:16 UTC 2024","Mon Jul 29 11:56:16 UTC 2024","141","","Footer Sector","","","","Verfiy Redirection of Careers Section ",""
"passed","Mon Jul 29 12:10:22 UTC 2024","Mon Jul 29 12:10:26 UTC 2024","3371","","FloorPlan Test Cases: Smoke Tests Only","","","","Verify Floor Plan Cards: Sharjah",""
"passed","Tue Aug 13 07:45:36 UTC 2024","Tue Aug 13 07:45:39 UTC 2024","2325","","FloorPlan Test Cases: Smoke Tests Only","","","","Verify Floor Plan Cards: Abu Dhabi",""
"passed","Thu Sep 05 08:31:33 UTC 2024","Thu Sep 05 08:31:35 UTC 2024","2132","","FloorPlan Test Cases: Smoke Tests Only","","","","Verify Floor Plan Cards: Al-Ain",""
"passed","Thu Sep 05 08:31:26 UTC 2024","Thu Sep 05 08:31:28 UTC 2024","2398","","FloorPlan Test Cases: Smoke Tests Only","","","","Verify Floor Plan Cards: Abu Dhabi",""
"passed","Mon Jul 29 12:10:09 UTC 2024","Mon Jul 29 12:10:15 UTC 2024","6418","","FloorPlan Test Cases: Smoke Tests Only","","","","Verify Floor Plan Cards: Dubai",""
"passed","Tue Aug 13 07:45:39 UTC 2024","Tue Aug 13 07:45:41 UTC 2024","2150","","FloorPlan Test Cases: Smoke Tests Only","","","","Verify Floor Plan Cards: Ajman",""
"passed","Tue Aug 13 07:45:41 UTC 2024","Tue Aug 13 07:45:43 UTC 2024","2091","","FloorPlan Test Cases: Smoke Tests Only","","","","Verify Floor Plan Cards: Sharjah",""
"broken","Mon Jul 29 11:56:16 UTC 2024","Mon Jul 29 11:56:17 UTC 2024","68","","Footer Sector","","","","Verfiy Redirection of Contact Us Section ",""
"passed","Thu Sep 05 08:31:28 UTC 2024","Thu Sep 05 08:31:31 UTC 2024","3261","","FloorPlan Test Cases: Smoke Tests Only","","","","Verify Floor Plan Cards: Ajman",""
"broken","Mon Jul 29 11:56:17 UTC 2024","Mon Jul 29 11:56:17 UTC 2024","68","","Footer Sector","","","","Verfiy Redirection of Google Play Store ",""
"passed","Thu Sep 05 08:31:20 UTC 2024","Thu Sep 05 08:31:26 UTC 2024","6025","","FloorPlan Test Cases: Smoke Tests Only","","","","Verify Floor Plan Cards: Dubai",""
"passed","Mon Jul 29 12:10:26 UTC 2024","Mon Jul 29 12:10:29 UTC 2024","3415","","FloorPlan Test Cases: Smoke Tests Only","","","","Verify Floor Plan Cards: Al-Ain",""
"passed","Thu Sep 05 08:31:31 UTC 2024","Thu Sep 05 08:31:33 UTC 2024","1545","","FloorPlan Test Cases: Smoke Tests Only","","","","Verify Floor Plan Cards: Sharjah",""
"passed","Tue Aug 13 07:45:43 UTC 2024","Tue Aug 13 07:45:45 UTC 2024","2033","","FloorPlan Test Cases: Smoke Tests Only","","","","Verify Floor Plan Cards: Al-Ain",""
"passed","Mon Jul 29 12:10:15 UTC 2024","Mon Jul 29 12:10:19 UTC 2024","3624","","FloorPlan Test Cases: Smoke Tests Only","","","","Verify Floor Plan Cards: Abu Dhabi",""
"broken","Mon Jul 29 11:56:17 UTC 2024","Mon Jul 29 11:56:17 UTC 2024","47","","Footer Sector","","","","Verfiy BayutEG Redirection",""
"passed","Mon Jul 29 12:10:19 UTC 2024","Mon Jul 29 12:10:22 UTC 2024","3021","","FloorPlan Test Cases: Smoke Tests Only","","","","Verify Floor Plan Cards: Ajman",""
